Input File,Instruction References (I refs),User Time (s),System Time (s),CPU Usage (%),Elapsed Time (s),Max RSS (KB),Major Page Faults,Minor Page Faults,Voluntary Context Switches,Involuntary Context Switches,File System Inputs,File System Outputs
25,0,0.53,0.08,104.0,0.59,44532,1,14355,7654,8,320,280
50,0,0.44,0.07,102.0,0.49,44548,0,14369,3243,14,0,280
100,0,0.57,0.07,103.0,0.63,44680,0,14395,4319,12,0,280
200,0,0.88,0.04,100.0,0.91,44516,0,14489,2047,31,0,280
400,0,2.28,0.07,101.0,2.32,44680,0,14847,5392,16,0,288
800,0,7.64,0.09,100.0,7.71,44644,0,16268,4434,32,0,288
1600,0,29.71,0.15,100.0,29.82,66352,0,21937,9668,127,0,288
3200,0,115.58,0.25,100.0,115.82,157100,0,44641,4133,493,0,288
