Input File,Instruction References (I refs),User Time (s),System Time (s),CPU Usage (%),Elapsed Time (s),Max RSS (KB),Major Page Faults,Minor Page Faults,Voluntary Context Switches,Involuntary Context Switches,File System Inputs,File System Outputs
25,0,0.34,0.04,87.0,0.43,44236,2,14895,130,1,9912,280
50,0,0.35,0.04,98.0,0.39,44332,0,14911,15,1,24,280
100,0,0.47,0.04,99.0,0.52,44332,0,14935,23,7,80,280
200,0,0.95,0.05,99.0,1.0,44248,0,15027,94,5,304,280
400,0,3.56,0.05,100.0,3.62,44320,0,15421,575,30,1216,288
800,0,18.31,0.12,100.0,18.4,44396,0,16843,3855,100,4872,288
1600,0,122.51,0.65,100.0,122.78,65796,0,22176,36678,776,19464,288
3200,0,839.64,4.89,100.0,840.98,157796,0,45186,295033,3926,7152,288
